,INSTNM,CITY,STABBR,ZIP,ACCREDAGENCY,INSTURL,PREDDEG,HIGHDEG,latitude,longitude,HBCU,MENONLY,WOMENONLY,ADM_RATE,ACTCMMID,SAT_AVG,Agriculture,Natural Resources,Architecture,Ethnic and Gender Studies,Communication Journalism,Communication Technologies,Computer and Info Sciences,Personal and Culinary Services,Education,Engineering,Engineering Technologies and Related Fields,"Foreign Languages, Literatures, and Linguistics",Consumer Science/Human Sciences,Legal Proffessions and Studies,English Lang/Lit,"Liberal Arts Sciences, General Studies, Humanities",Library Science,Bio-Med/Biology,Math/Stats,Military Technologies and Applied Sciences,Multi-Interdisciplinary Studies,Fitness Studies,Philosophy and Religious Studies,Theology and Religious Vocations,Physical Sciences,Science Technology / Technicians,Psychology,"Homeland Security, Homeland Security, Protective Services",Public Administration and Social Service,Social Sciences,Construction Trades,Mechanic Repair Technology/Technicians,Precision Production,Transportation and Materials Moving,Visual and Performing Arts,Health Professions and Related Programs,Business Management Marketing,History,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,PPTUG_EF,CURROPER,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,TUITFTE,PCTFLOAN,BOOKSUPPLY,ROOMBOARD_ON,OTHEREXPENSE_ON,ROOMBOARD_OFF,OTHEREXPENSE_OFF
1891,University of Nebraska at Omaha,Omaha,NE,68182-0225,Higher Learning Commission,https://www.unomaha.edu/,3,4,41.258769,-96.008516,0,0,0,0.8346,23,1135,0,1,0,1,1,0,2,0,1,0,0,1,0,1,1,2,2,1,1,0,2,1,2,0,1,0,1,2,1,2,0,0,0,1,1,1,1,1,12063,0.6376,0.0663,0.1447,0.0445,0.0032,0.0011,0.0454,0.0462,0.0109,0.1819,1,19906,7980,21244,7144,0.3776,1162,9920,3688,9920,3688
1894,Nebraska Wesleyan University,Lincoln,NE,68504-2794,Higher Learning Commission,www.nebrwesleyan.edu/,3,4,40.839098,-96.64831,0,0,0,0.6778,25,1211,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1825,0.8055,0.0285,0.074,0.0225,0.0022,0.0005,0.029,0.0088,0.029,0.0729,1,46746,35564,35564,12404,0.6623,1000,10172,3500,11048,3500
1895,University of Nebraska-Lincoln,Lincoln,NE,68588-0419,Higher Learning Commission,www.unl.edu/,3,4,40.817598,-96.700508,0,0,0,0.7823,25,1222,2,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,20252,0.7468,0.027,0.0725,0.0292,0.0024,0.0005,0.0319,0.0806,0.0092,0.0554,1,23703,9522,25828,10564,0.3867,1044,11830,3320,11830,3320
1901,Union College,Lincoln,NE,68506,Higher Learning Commission,https://www.ucollege.edu/,3,4,40.774778,-96.651095,0,0,0,0.9285,22,1087,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,640,0.4813,0.0938,0.2484,0.0547,0.0016,0.0078,0.0375,0.0688,0.0063,0.0266,1,35787,24620,24620,15781,0.7847,1600,7170,3210,9090,3690
1905,York College,York,NE,68467-2699,Higher Learning Commission,www.york.edu/,3,4,40.869526,-97.579352,0,0,0,0.566,20,1008,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,0,1,1,0,0,0,1,2,1,0,2,1,0,0,0,0,0,0,1,0,2,1,417,0.5348,0.1079,0.1847,0.0048,0.0096,0.0096,0,0.0959,0.0528,0.0336,1,29385,19310,19310,9116,0.7395,300,8450,2750,7620,2750
1910,University of Nevada-Las Vegas,Las Vegas,NV,89154,Northwest Commission on Colleges and Universities,www.unlv.edu/,3,4,36.106047,-115.138462,0,0,0,0.8069,22,1126,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,2,0,0,0,0,1,1,1,1,25236,0.2881,0.0792,0.3126,0.1661,0.0028,0.0095,0.1094,0.0286,0.0037,0.2302,1,18102,8291,23342,7342,0.3315,1250,10892,4288,9998,6380
1911,University of Nevada-Reno,Reno,NV,89557,Northwest Commission on Colleges and Universities,www.unr.edu/,3,4,39.543642,-119.815377,0,0,0,0.8822,24,1174,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,16917,0.5522,0.0324,0.2227,0.0823,0.007,0.0054,0.0747,0.008,0.0152,0.128,1,22731,8034,23086,7345,0.3566,1300,11960,4370,11960,4370
1913,Sierra Nevada University,Incline Village,NV,89451,Northwest Commission on Colleges and Universities,www.sierranevada.edu/,3,4,39.244278,-119.939125,0,0,0,0.6361,20,1043,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,350,0.7371,0.0457,0.0257,0.02,0.0286,0.0086,0,0,0.1343,0.0543,1,48956,35508,35508,14946,0.7406,1600,13892,2000,13892,2000
1930,University of New Hampshire-Main Campus,Durham,NH,03824-3547,New England Commission on Higher Education,www.unh.edu/,3,4,43.135934,-70.932465,0,0,0,0.8403,25,1176,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,12101,0.8262,0.0107,0.0354,0.0283,0.0011,0.0002,0.0212,0.0331,0.0438,0.0166,1,33248,18879,35409,14054,0.6293,1000,11942,2651,11942,2651
1943,Saint Anselm College,Manchester,NH,03102-1310,New England Commission on Higher Education,www.anselm.edu/,3,3,42.986889,-71.503622,0,0,0,0.7516,26,1224,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,2030,0.8626,0.0158,0.0453,0.0118,0.0005,0.0005,0.0197,0.0049,0.0389,0.0084,1,58963,41800,41800,19195,0.6877,1000,14750,4000,10200,3300
1954,Bloomfield College,Bloomfield,NJ,7003,Middle States Commission on Higher Education,www.bloomfield.edu/,3,4,40.795105,-74.194309,0,0,0,0.706,17,962,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1609,0.0895,0.4792,0.325,0.0199,0.0062,0.0037,0.0081,0.0224,0.046,0.0584,1,42504,30310,30310,17037,0.9248,1339,12300,2862,13528,1873
1957,Caldwell University,Caldwell,NJ,07006-6195,Middle States Commission on Higher Education,www.caldwell.edu/,3,4,40.832753,-74.272571,0,0,0,0.9325,20,1046,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1,0,2,1,0,1,0,0,0,0,1,2,1,1,1688,0.3169,0.1534,0.3081,0.0344,0.0006,0.0006,0.0077,0.1149,0.0634,0.0468,1,48106,35740,35740,16515,0.5348,2600,12415,3400,15000,4200
1959,Centenary University,Hackettstown,NJ,7840,Middle States Commission on Higher Education,www.centenaryuniversity.edu/,3,4,40.84764,-74.833644,0,0,0,0.7504,20,1043,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,2,1,1183,0.6027,0.104,0.1555,0.0144,0.0008,0,0.0203,0.0068,0.0955,0.1226,1,48080,33492,33492,14837,0.6613,900,11788,3960,12080,4614
1972,Felician University,Lodi,NJ,7644,Middle States Commission on Higher Education,www.felician.edu/,3,4,40.867272,-74.096452,0,0,0,0.8609,18,986,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,2,1,1,1818,0.2673,0.198,0.3223,0.0446,0.0022,0.005,0.0072,0.0352,0.1183,0.0985,1,47414,35000,35000,18783,0.7124,1300,13140,3470,13800,1780
1975,Georgian Court University,Lakewood,NJ,08701-2697,Middle States Commission on Higher Education,https://georgian.edu/,3,4,40.099617,-74.228186,0,0,0,0.712,22,1062,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1,1,0,1,0,1,2,1,0,0,0,0,0,1,1,2,1,1550,0.6303,0.0981,0.1503,0.0258,0.0058,0.0006,0.0148,0.0206,0.0535,0.0858,1,44722,33610,33610,17413,0.6192,1350,11200,6600,9882,6600
1976,Rowan University,Glassboro,NJ,8028,Middle States Commission on Higher Education,https://www.rowan.edu/,3,4,39.709108,-75.119119,0,0,0,0.7434,25,1161,0,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,0,1,0,1,0,2,2,1,1,2,0,0,0,1,1,1,1,15751,0.6701,0.1016,0.115,0.0544,0.0013,0.001,0.0375,0.0091,0.01,0.1081,1,32833,14000,22832,12248,0.5591,1850,14603,5185,17961,5328
1985,Kean University,Union,NJ,7083,Middle States Commission on Higher Education,https://www.kean.edu/,3,4,40.677981,-74.233503,0,0,0,0.6856,20,1013,0,0,1,1,1,0,1,0,1,0,1,1,0,0,1,0,0,1,1,0,1,1,1,0,1,1,2,2,1,1,0,0,0,0,1,1,2,1,11947,0.2961,0.2018,0.3125,0.0561,0.0017,0.0028,0.0218,0.0393,0.068,0.1879,1,25809,12595,19771,9411,0.606,1000,14802,2281,10971,3580
1991,Monmouth University,West Long Branch,NJ,07764-1898,Middle States Commission on Higher Education,https://www.monmouth.edu/,3,4,40.280066,-74.006447,0,0,0,0.7665,24,1150,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,4429,0.7013,0.0517,0.1389,0.0266,0.0007,0.0002,0.0262,0.0104,0.044,0.0289,1,54747,39592,39592,23265,0.6672,996,14520,3946,9238,4266
1997,New Jersey Institute of Technology,Newark,NJ,7102,Middle States Commission on Higher Education,www.njit.edu/,3,4,40.741997,-74.177113,0,0,0,0.7281,28,1292,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,8126,0.3405,0.0853,0.2186,0.2291,0.0015,0.0004,0.0332,0.0581,0.0333,0.1568,1,31388,17674,33386,14719,0.4311,2900,13900,4100,14600,6300
2006,Ramapo College of New Jersey,Mahwah,NJ,07430-1680,Middle States Commission on Higher Education,www.ramapo.edu/,3,4,41.080942,-74.174086,0,0,0,0.6558,24,1137,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,5239,0.6009,0.0578,0.1962,0.0828,0.0059,0.0004,0.0015,0.0172,0.0372,0.0762,1,28375,14678,24229,10128,0.5593,1593,12840,3293,11427,6614
2008,Rider University,Lawrenceville,NJ,08648-3099,Middle States Commission on Higher Education,www.rider.edu/,3,4,40.278796,-74.737833,0,0,0,0.7147,23,1118,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,2,0,1,1,0,1,0,1,1,1,0,2,1,1,1,0,0,0,0,1,2,2,1,3694,0.5601,0.1383,0.1697,0.0539,0.0022,0.0005,0.0371,0.0273,0.0108,0.065,1,59199,44460,44460,21231,0.6622,1500,15390,2500,10020,2500
2009,Rutgers University-Camden,Camden,NJ,8102,Middle States Commission on Higher Education,https://www.camden.rutgers.edu/,3,4,39.948064,-75.12224,0,0,0,0.792,20,1072,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,2,0,1,1,0,1,0,1,0,1,0,2,1,2,2,0,0,0,0,1,2,2,1,5626,0.4415,0.1806,0.1749,0.1072,0.002,0.0023,0.0425,0.027,0.022,0.1536,1,27676,15264,31500,14220,0.6416,1350,12691,3625,16434,6041
2010,Rutgers University-New Brunswick,New Brunswick,NJ,08901-1281,Middle States Commission on Higher Education,https://newbrunswick.rutgers.edu/,3,4,40.498769,-74.446251,0,0,0,0.6122,29,1322,1,1,1,1,1,0,2,0,0,1,0,1,0,0,1,0,0,1,1,0,1,1,1,0,1,0,1,1,2,2,0,0,0,0,1,2,2,1,35760,0.3605,0.0635,0.1292,0.2895,0.0004,0.0021,0.037,0.0987,0.019,0.0427,1,30954,15407,32189,14284,0.4717,1350,13075,3625,16434,6041
2011,Rutgers University-Newark,Newark,NJ,7102,Middle States Commission on Higher Education,https://www.newark.rutgers.edu/,3,4,40.739122,-74.175809,0,0,0,0.719,22,1111,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,2,2,1,2,0,0,0,0,1,1,2,1,9037,0.2048,0.1867,0.2889,0.169,0.0008,0.0028,0.0289,0.0892,0.029,0.1194,1,26310,14826,31608,19435,0.46,1350,13929,3625,16434,6041
2014,Saint Peter's University,Jersey City,NJ,07306-5997,Middle States Commission on Higher Education,www.saintpeters.edu/,3,4,40.727105,-74.071541,0,0,0,0.8096,20,1018,0,1,0,1,2,0,2,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,2,1,1,2316,0.1347,0.1986,0.4896,0.0833,0.0022,0.0052,0.0117,0.0233,0.0514,0.0544,1,47383,38760,38760,17162,0.4953,1000,15950,1300,7500,2900
2016,Seton Hall University,South Orange,NJ,07079-2697,Middle States Commission on Higher Education,https://www.shu.edu/,3,4,40.742336,-74.246027,0,0,0,0.7363,27,1246,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,2,1,1,5910,0.5034,0.0765,0.1785,0.1051,0.0012,0.0008,0.0431,0.0371,0.0543,0.022,1,57634,43780,43780,24238,0.5138,1000,15222,3000,15222,3700
2018,Saint Elizabeth University,Morristown,NJ,7960,Middle States Commission on Higher Education,www.steu.edu/,3,4,40.78182,-74.438221,0,0,0,0.7376,18,989,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,779,0.2272,0.3261,0.2721,0.0321,0.0026,0.0064,0.0103,0.0244,0.0988,0.1951,1,50217,34226,34226,17700,0.6113,1300,12744,4908,11578,4908
2020,Stevens Institute of Technology,Hoboken,NJ,07030-5991,Middle States Commission on Higher Education,www.stevens.edu/,3,4,40.744776,-74.025334,0,0,0,0.3996,33,1429,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,3641,0.6163,0.0236,0.1181,0.1719,0.0008,0,0,0.0272,0.042,0,1,68734,54014,54014,26806,0.5981,1200,15770,1050,15770,1050
2021,Stockton University,Galloway,NJ,08205-9441,Middle States Commission on Higher Education,https://www.stockton.edu/,3,4,39.492036,-74.531087,0,0,0,0.7632,23,1119,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,8873,0.6459,0.0863,0.1481,0.0674,0.0021,0.0014,0.0321,0.0062,0.0105,0.047,1,28851,14048,21336,8967,0.6391,1600,12496,3220,12496,4059
2025,The College of New Jersey,Ewing,NJ,08628-7718,Middle States Commission on Higher Education,https://www.tcnj.edu/,3,4,40.268651,-74.778791,0,0,0,0.4928,28,1267,0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,1,1,1,6747,0.6181,0.0563,0.147,0.1159,0.0012,0.0012,0.0132,0.0056,0.0415,0.0221,1,34427,16923,28901,13347,0.519,1200,14048,3922,14048,3922
2033,Eastern New Mexico University-Main Campus,Portales,NM,88130,Higher Learning Commission,www.enmu.edu/,3,4,34.175592,-103.34819,0,0,0,0.5825,20,1028,1,1,0,0,1,0,2,0,2,0,2,2,1,0,1,1,0,1,1,0,0,0,2,0,1,0,1,2,0,2,0,0,0,2,1,2,2,2,3292,0.3952,0.0577,0.4286,0.0094,0.0213,0.0076,0.0279,0.0234,0.0289,0.2725,1,17612,6450,8448,4574,0.2647,950,7300,4498,7496,4498
2040,New Mexico Institute of Mining and Technology,Socorro,NM,87801,Higher Learning Commission,www.nmt.edu/,3,4,34.067041,-106.905211,0,0,0,0.7979,26,1257,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1241,0.5157,0.0137,0.3127,0.0435,0.0443,0.0016,0.0346,0.0161,0.0177,0.0508,1,22050,8156,23524,6585,0.4802,1150,8624,5000,8624,5000
2042,University of New Mexico-Main Campus,Albuquerque,NM,87106,Higher Learning Commission,www.unm.edu/,3,4,35.083868,-106.620155,0,0,0,0.9428,22,1120,0,2,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,16170,0.3088,0.0246,0.4965,0.0404,0.053,0.0022,0.0354,0.0257,0.0134,0.2233,1,19286,7875,23292,6487,0.3105,1158,10090,4108,10090,5492
2046,New Mexico State University-Main Campus,Las Cruces,NM,88003-8001,Higher Learning Commission,www.nmsu.edu/,3,4,32.281568,-106.752069,0,0,0,0.5458,21,1061,1,1,1,2,1,1,2,0,2,1,2,1,2,0,1,1,0,1,1,0,0,1,1,0,1,0,1,2,1,2,0,0,0,0,1,2,2,1,11153,0.2486,0.0232,0.6275,0.0125,0.023,0.0016,0.0202,0.0312,0.0123,0.1296,1,18703,7087,23076,4589,0.3714,1240,9538,4416,8862,4416
2059,Adelphi University,Garden City,NY,11530-0701,Middle States Commission on Higher Education,www.adelphi.edu/,3,4,40.721439,-73.653321,0,0,0,0.743,24,1161,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1,1,0,1,0,1,2,1,1,0,0,0,0,1,1,1,1,5275,0.4959,0.0876,0.1729,0.1105,0.0021,0.0006,0.0282,0.0375,0.0646,0.0427,1,50628,40300,40300,25233,0.5953,1020,15950,4366,15350,4966
2062,Albany College of Pharmacy and Health Sciences,Albany,NY,12208-3492,Middle States Commission on Higher Education,www.acphs.edu/,3,4,42.650371,-73.779063,0,0,0,0.7107,26,1242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,788,0.5431,0.0635,0.0723,0.1777,0.0025,0,0.0305,0.0571,0.0533,0.0038,1,48545,36745,36745,25921,0.7497,1000,11046,2560,11346,4260
2065,Alfred University,Alfred,NY,14802-1205,Middle States Commission on Higher Education,www.alfred.edu/,3,4,42.254476,-77.788106,0,0,0,0.6245,23,1076,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,1,1,1,1668,0.5833,0.1301,0.0905,0.0174,0.0012,0,0.0264,0.0713,0.0797,0.0174,1,44856,34770,34770,7875,0.7211,1300,12718,2100,12718,2100
2077,Barnard College,New York,NY,10027-6598,Middle States Commission on Higher Education,www.barnard.edu/,3,3,40.810098,-73.963346,0,0,1,0.1177,33,1445,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,2622,0.4973,0.0534,0.1133,0.1545,0.0011,0.0011,0.0622,0.1129,0.0042,0.0179,1,74777,57668,57668,40607,0.2584,1150,17856,1370,17856,1370
2092,Canisius College,Buffalo,NY,14208-1098,Middle States Commission on Higher Education,https://www.canisius.edu/,3,4,42.925206,-78.852577,0,0,0,0.827,24,1158,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,2138,0.7123,0.0884,0.0674,0.0304,0.0028,0.0019,0.0234,0.0341,0.0393,0.0206,1,38896,29428,29428,16218,0.6321,1000,11526,1500,8000,1500
2101,Clarkson University,Potsdam,NY,13699,Middle States Commission on Higher Education,https://www.clarkson.edu/,3,4,44.662716,-74.999359,0,0,0,0.746,27,1258,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,2982,0.7901,0.0295,0.054,0.0379,0.0013,0.0003,0.0386,0.0255,0.0228,0.0057,1,67441,51128,51128,17647,0.6881,1446,15340,2314,15580,2314
2107,Columbia University in the City of New York,New York,NY,10027,Middle States Commission on Higher Education,www.columbia.edu/,3,4,40.808286,-73.961885,0,0,0,0.0545,34,1511,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,8221,0.3483,0.0667,0.1387,0.173,0.0044,0.0011,0.0529,0.181,0.0341,0.0633,1,76907,61788,61788,39523,0.2292,1294,14490,2180,17955,5220
2110,Concordia College,Bronxville,NY,10708-1998,Middle States Commission on Higher Education,www.concordia-ny.edu/,3,4,40.943382,-73.82202,0,0,0,0.9383,20,996,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1250,0.4696,0.1112,0.176,0.0424,0.0048,0.0008,0,0.0832,0.112,0.1024,1,41489,34600,34600,13357,0.4943,1000,13470,1630,6473,1005
2112,Cooper Union for the Advancement of Science and Art,New York,NY,10003-7120,Middle States Commission on Higher Education,www.cooper.edu/,3,4,40.728148,-73.991609,0,0,0,0.1545,33,1430,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,844,0.3152,0.0462,0.1209,0.2393,0,0,0.0403,0.1623,0.0758,0.0024,1,62111,46700,46700,12643,0.1708,1800,16638,1575,16000,1575
2113,Cornell University,Ithaca,NY,14853,Middle States Commission on Higher Education,www.cornell.edu/,3,4,42.4472,-76.483084,0,0,0,0.1085,34,1487,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,14976,0.3578,0.0667,0.1388,0.1989,0.003,0.001,0.0495,0.1037,0.0805,0.0003,1,73879,57222,57222,28874,0.3479,970,15246,2820,15246,2820
2138,D'Youville College,Buffalo,NY,14201-1084,Middle States Commission on Higher Education,www.dyc.edu/,3,4,42.902636,-78.890868,0,0,0,0.8805,22,1133,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,2,1,1,1533,0.6921,0.1005,0.0522,0.0659,0.0052,0,0.0241,0.0196,0.0404,0.2329,1,37316,27880,27880,19991,0.682,1200,12652,3000,12652,3000
2145,Elmira College,Elmira,NY,14901,Middle States Commission on Higher Education,https://www.elmira.edu/,3,4,42.0961,-76.813459,0,0,0,0.8012,23,1128,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,778,0.7481,0.0488,0.063,0.0154,0.009,0.0026,0.0334,0.0437,0.036,0.0578,1,54265,35400,35400,17577,0.7766,600,12500,550,2500,550
2150,Fordham University,Bronx,NY,10458,Middle States Commission on Higher Education,www.fordham.edu/,3,4,40.859354,-73.882705,0,0,0,0.4588,30,1356,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,9422,0.5555,0.0394,0.1558,0.1118,0.0004,0.0012,0.042,0.0825,0.0115,0.0298,1,69118,54393,54393,28642,0.4617,1039,18510,2949,12438,2919
2157,Hartwick College,Oneonta,NY,13820-4020,Middle States Commission on Higher Education,www.hartwick.edu/,3,3,42.457599,-75.071994,0,0,0,0.8015,23,1123,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,1,1,1,1181,0.6232,0.0999,0.0694,0.0313,0.0135,0.0008,0,0.0178,0.1439,0.0144,1,59031,46926,46926,22272,0.7449,700,12834,700,6000,400
2161,Hobart William Smith Colleges,Geneva,NY,14456,Middle States Commission on Higher Education,www.hws.edu/,3,4,42.858131,-76.985516,0,0,0,0.6608,28,1286,0,1,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,2036,0.7323,0.0584,0.0634,0.0309,0.0029,0.0005,0.0221,0.0486,0.0408,0.0025,1,72040,57030,57030,27095,0.5855,1300,15345,700,14785,700
2162,Hofstra University,Hempstead,NY,11549,Middle States Commission on Higher Education,www.hofstra.edu/,3,4,40.715959,-73.60078,0,0,0,0.6849,28,1262,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,6400,0.5488,0.0945,0.1317,0.1181,0.0034,0.0013,0.0292,0.0544,0.0186,0.0444,1,60296,47510,47510,27910,0.4695,1000,15700,2050,21083,2592
2163,Houghton College,Houghton,NY,14744,Middle States Commission on Higher Education,www.houghton.edu/,3,4,42.426137,-78.155426,0,0,0,0.807,25,1193,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,2,2,0,1,0,0,0,0,1,0,2,1,921,0.7459,0.0651,0.013,0.0369,0.0054,0,0.0521,0.0347,0.0467,0.0413,1,43970,33458,33458,14197,0.6812,1000,9568,2850,6000,3400
2166,Iona College,New Rochelle,NY,10801-1890,Middle States Commission on Higher Education,www.iona.edu/,3,4,40.925725,-73.788046,0,0,0,0.8411,23,1087,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,2743,0.5144,0.1214,0.2475,0.0255,0.0051,0.0018,0.0197,0.0281,0.0365,0.0149,1,51313,40172,40172,20315,0.5586,1500,15736,1850,15736,1850
2173,Jewish Theological Seminary of America,New York,NY,10027-4649,Middle States Commission on Higher Education,www.jtsa.edu/,3,4,40.811892,-73.960582,0,0,0,0.5948,32,1420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0.7552,0,0.0769,0,0.007,0,0,0.021,0.1399,0,1,75041,59112,59112,8213,0.2177,500,15400,4500,18000,1500
2177,LIM College,New York,NY,10022-5268,Middle States Commission on Higher Education,www.limcollege.edu/,3,4,40.759865,-73.975054,0,0,0,0.8346,21,1042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1450,0.4145,0.1924,0.1648,0.0786,0.0076,0.0055,0.0041,0.0641,0.0683,0.1276,1,45526,27810,27810,28244,0.6308,900,20840,2700,11700,2700
